SaleID,CustomerID,ProductID,Quantity,TotalAmount,order_date,raw_comment
53,392,134,4,5414.32,2025/11/02,junk
54,877,212,5,10130.0,2025/11/02,junk
55,221,844,3,429.27,2025/11/02,junk
56,745,694,2,6723.46,2025/11/02,junk
57,429,185,4,11215.2,2025/11/02,junk
58,812,150,1,2971.99,2025/11/02,junk
59,298,1000,3,14121.6,2025/11/02,junk
60,242,633,4,7647.4,2025/11/02,junk
61,930,255,3,2481.54,2025/11/02,junk
62,597,701,4,17890.0,2025/11/02,junk
63,88,11,4,7571.72,2025/11/02,junk
64,137,893,3,3577.71,2025/11/02,junk
65,998,710,4,7438.32,2025/11/02,junk
66,704,218,4,4997.84,2025/11/02,junk
67,726,434,5,24348.65,2025/11/02,junk
68,263,75,1,1899.54,2025/11/02,junk
69,571,61,1,2719.47,2025/11/02,junk
70,341,954,2,5210.62,2025/11/02,junk
71,483,931,3,4109.28,2025/11/02,junk
72,621,962,5,19196.85,2025/11/02,junk
73,727,767,1,3461.28,2025/11/02,junk
74,6,260,5,23740.65,2025/11/02,junk
75,635,391,3,612.93,2025/11/02,junk
76,405,688,3,12174.3,2025/11/02,junk
77,136,992,5,14839.65,2025/11/02,junk
78,43,595,2,6359.5,2025/11/02,junk
79,267,174,5,20697.35,2025/11/02,junk
80,505,953,3,13231.32,2025/11/02,junk
81,899,480,2,8626.36,2025/11/02,junk
82,92,325,5,23756.4,2025/11/02,junk
83,444,146,3,13121.37,2025/11/02,junk
84,120,321,1,661.54,2025/11/02,junk
85,131,512,3,310.14,2025/11/02,junk
86,766,370,4,16991.8,2025/11/02,junk
87,290,925,3,3634.14,2025/11/02,junk
88,628,850,3,1583.07,2025/11/02,junk
89,530,321,4,2646.16,2025/11/02,junk
90,915,169,3,7644.69,2025/11/02,junk
91,755,504,2,1506.66,2025/11/02,junk
92,570,874,4,8990.32,2025/11/02,junk
93,55,194,2,5804.7,2025/11/02,junk
94,56,236,2,2660.72,2025/11/02,junk
95,37,482,3,9434.43,2025/11/02,junk
96,168,723,4,13630.52,2025/11/02,junk
97,447,119,4,12449.16,2025/11/02,junk
98,42,453,3,5849.67,2025/11/02,junk
99,727,575,4,5440.36,2025/11/02,junk
100,469,505,1,4918.72,2025/11/02,junk
101,867,738,2,9479.74,2025/11/03,junk
102,127,358,1,3079.67,2025/11/03,junk
103,209,890,3,14259.57,2025/11/03,junk
104,185,855,2,1689.52,2025/11/03,junk
105,768,521,3,555.39,2025/11/03,junk
106,577,913,5,13599.95,2025/11/03,junk
107,218,598,1,1055.45,2025/11/03,junk
108,539,786,5,20190.4,2025/11/03,junk
109,185,427,1,574.34,2025/11/03,junk
110,253,787,4,17949.28,2025/11/03,junk
111,694,97,3,4107.57,2025/11/03,junk
112,27,292,1,4753.48,2025/11/03,junk
113,404,383,5,11650.3,2025/11/03,junk
114,952,975,1,259.05,2025/11/03,junk
115,858,332,2,1888.9,2025/11/03,junk
116,30,84,4,1555.6,2025/11/03,junk
117,851,725,4,13531.48,2025/11/03,junk
118,465,644,3,6368.97,2025/11/03,junk
119,609,674,1,4437.72,2025/11/03,junk
120,338,994,1,2751.44,2025/11/03,junk
121,672,638,4,2712.48,2025/11/03,junk
122,333,971,5,16261.3,2025/11/03,junk
123,133,217,1,4985.54,2025/11/03,junk
124,821,660,3,10201.26,2025/11/03,junk
125,331,818,1,1009.38,2025/11/03,junk
126,762,73,5,10903.25,2025/11/03,junk
127,975,617,4,484.44,2025/11/03,junk
128,95,409,3,12992.43,2025/11/03,junk
129,183,246,4,2336.24,2025/11/03,junk
130,92,22,2,2584.64,2025/11/03,junk
131,167,398,4,16623.24,2025/11/03,junk
132,292,663,2,8711.88,2025/11/03,junk
133,124,306,4,15350.16,2025/11/03,junk
134,821,443,3,7389.48,2025/11/03,junk
135,926,702,5,1059.7,2025/11/03,junk
136,135,368,1,57.83,2025/11/03,junk
137,853,377,5,8498.75,2025/11/03,junk
138,205,502,4,9768.72,2025/11/03,junk
139,907,398,4,16623.24,2025/11/03,junk
140,275,577,5,9967.7,2025/11/03,junk
141,434,93,4,6969.88,2025/11/03,junk
142,831,378,5,14330.8,2025/11/03,junk
143,191,445,4,16946.16,2025/11/03,junk
144,96,42,5,15233.3,2025/11/03,junk
145,350,997,4,14370.28,2025/11/03,junk
146,693,230,2,2506.18,2025/11/03,junk
147,954,508,5,18606.75,2025/11/03,junk
148,645,663,5,21779.7,2025/11/03,junk
149,86,298,4,14759.56,2025/11/03,junk
150,448,82,4,13039.44,2025/11/03,junk
151,308,153,2,4964.92,2025/11/04,junk
152,701,925,3,3634.14,2025/11/04,junk
153,862,255,5,4135.9,2025/11/04,junk
154,438,303,5,11558.3,2025/11/04,junk
155,49,565,1,3299.15,2025/11/04,junk
156,940,47,5,23525.8,2025/11/04,junk
157,111,523,4,15718.52,2025/11/04,junk
158,423,97,4,5476.76,2025/11/04,junk
159,677,738,5,23699.35,2025/11/04,junk
160,833,260,3,14244.39,2025/11/04,junk
161,261,600,1,1529.41,2025/11/04,junk
162,788,516,1,3490.5,2025/11/04,junk
163,117,759,4,18635.16,2025/11/04,junk
164,184,806,2,2844.44,2025/11/04,junk
165,864,403,1,812.68,2025/11/04,junk
166,86,427,3,1723.02,2025/11/04,junk
167,322,602,4,1880.28,2025/11/04,junk
168,776,687,4,8628.8,2025/11/04,junk
169,639,828,3,3385.47,2025/11/04,junk
170,350,990,2,1157.46,2025/11/04,junk
171,217,190,1,2873.91,2025/11/04,junk
172,765,619,3,9226.71,2025/11/04,junk
173,893,690,1,461.3,2025/11/04,junk
174,445,548,1,4594.31,2025/11/04,junk
175,6,405,1,3888.89,2025/11/04,junk
176,14,176,4,7626.24,2025/11/04,junk
177,472,709,4,7438.68,2025/11/04,junk
178,890,674,5,22188.6,2025/11/04,junk
179,744,499,3,11004.06,2025/11/04,junk
180,634,833,5,11647.15,2025/11/04,junk
181,370,708,4,17781.96,2025/11/04,junk
182,824,310,1,4599.21,2025/11/04,junk
183,129,139,1,363.54,2025/11/04,junk
184,196,115,1,4845.73,2025/11/04,junk
185,713,994,2,5502.88,2025/11/04,junk
186,880,28,2,2651.38,2025/11/04,junk
187,493,665,2,637.96,2025/11/04,junk
188,666,248,4,19599.88,2025/11/04,junk
189,863,642,5,18000.65,2025/11/04,junk
190,196,89,3,2911.17,2025/11/04,junk
191,789,475,2,5869.0,2025/11/04,junk
192,486,433,1,3370.81,2025/11/04,junk
193,120,171,2,9341.84,2025/11/04,junk
194,757,720,4,1454.72,2025/11/04,junk
195,987,497,4,4669.68,2025/11/04,junk
196,21,881,4,8132.36,2025/11/04,junk
197,600,249,2,1086.08,2025/11/04,junk
198,302,584,4,3147.32,2025/11/04,junk
199,53,342,1,783.87,2025/11/04,junk
200,106,646,4,12454.64,2025/11/04,junk
201,426,869,4,10017.16,2025/11/05,junk
202,755,593,5,14289.3,2025/11/05,junk
203,749,568,3,7084.29,2025/11/05,junk
204,38,500,4,5531.16,2025/11/05,junk
205,498,526,5,15194.6,2025/11/05,junk
206,743,627,4,1102.6,2025/11/05,junk
207,238,732,1,1061.07,2025/11/05,junk
208,541,20,4,12686.92,2025/11/05,junk
209,591,324,5,19828.9,2025/11/05,junk
210,66,275,4,2544.08,2025/11/05,junk
211,911,485,1,738.39,2025/11/05,junk
212,507,638,3,2034.36,2025/11/05,junk
213,460,715,4,18795.12,2025/11/05,junk
214,22,166,3,5465.76,2025/11/05,junk
215,744,197,4,15646.4,2025/11/05,junk
216,353,449,2,5605.88,2025/11/05,junk
217,520,225,5,24756.45,2025/11/05,junk
218,931,702,3,635.82,2025/11/05,junk
219,944,617,4,484.44,2025/11/05,junk
220,135,905,3,13219.86,2025/11/05,junk
221,741,729,4,19173.48,2025/11/05,junk
222,983,427,3,1723.02,2025/11/05,junk
223,816,484,2,2191.04,2025/11/05,junk
224,637,213,3,7602.06,2025/11/05,junk
225,708,768,1,4505.86,2025/11/05,junk
226,684,495,2,4598.5,2025/11/05,junk
227,178,205,2,5073.78,2025/11/05,junk
228,621,504,1,753.33,2025/11/05,junk
229,813,426,4,774.04,2025/11/05,junk
230,311,241,2,2911.74,2025/11/05,junk
231,571,49,1,559.9,2025/11/05,junk
232,368,903,3,12170.79,2025/11/05,junk
233,366,694,2,6723.46,2025/11/05,junk
234,179,848,5,22736.1,2025/11/05,junk
235,33,827,1,4608.49,2025/11/05,junk
236,346,441,1,3513.09,2025/11/05,junk
237,633,233,1,2277.8,2025/11/05,junk
238,576,230,4,5012.36,2025/11/05,junk
239,265,349,3,11841.51,2025/11/05,junk
240,788,48,5,2231.6,2025/11/05,junk
241,274,918,2,708.1,2025/11/05,junk
242,874,707,5,23646.75,2025/11/05,junk
243,619,686,1,3680.71,2025/11/05,junk
244,724,52,4,5396.56,2025/11/05,junk
245,819,469,1,788.62,2025/11/05,junk
246,999,109,5,3273.0,2025/11/05,junk
247,625,801,1,1350.25,2025/11/05,junk
248,844,576,1,2484.02,2025/11/05,junk
249,520,108,2,7472.78,2025/11/05,junk
250,646,121,2,7043.14,2025/11/05,junk
251,933,371,2,4199.0,2025/11/06,junk
252,746,300,4,11524.32,2025/11/06,junk
253,781,519,4,3547.76,2025/11/06,junk
254,751,892,1,654.84,2025/11/06,junk
255,158,663,3,13067.82,2025/11/06,junk
256,343,839,2,8164.28,2025/11/06,junk
257,126,869,2,5008.58,2025/11/06,junk
258,450,993,4,7619.16,2025/11/06,junk
259,788,788,1,2956.54,2025/11/06,junk
260,252,855,4,3379.04,2025/11/06,junk
261,350,294,5,5312.9,2025/11/06,junk
262,176,88,3,2409.42,2025/11/06,junk
263,382,733,4,6004.76,2025/11/06,junk
264,370,645,2,1999.84,2025/11/06,junk
265,156,772,5,15301.75,2025/11/06,junk
266,432,807,2,7481.1,2025/11/06,junk
267,142,822,4,6161.24,2025/11/06,junk
268,424,941,4,5450.08,2025/11/06,junk
269,920,470,5,9902.05,2025/11/06,junk
270,814,699,3,7044.78,2025/11/06,junk
271,967,31,4,13052.8,2025/11/06,junk
272,150,789,1,1078.53,2025/11/06,junk
273,735,826,5,19525.5,2025/11/06,junk
274,967,72,1,2411.48,2025/11/06,junk
275,347,323,4,10571.6,2025/11/06,junk
276,791,169,4,10192.92,2025/11/06,junk
277,63,403,1,812.68,2025/11/06,junk
278,677,945,2,3434.7,2025/11/06,junk
279,925,589,1,2208.49,2025/11/06,junk
280,647,731,5,3911.85,2025/11/06,junk
281,997,303,4,9246.64,2025/11/06,junk
282,412,908,5,14027.5,2025/11/06,junk
283,895,312,3,9744.6,2025/11/06,junk
284,932,353,1,384.95,2025/11/06,junk
285,847,287,5,21191.9,2025/11/06,junk
286,626,943,2,7454.6,2025/11/06,junk
287,718,414,4,6387.12,2025/11/06,junk
288,660,211,5,14393.15,2025/11/06,junk
289,640,808,5,14247.95,2025/11/06,junk
290,668,453,3,5849.67,2025/11/06,junk
291,909,832,4,15174.88,2025/11/06,junk
292,795,203,3,4676.04,2025/11/06,junk
293,87,38,5,15404.7,2025/11/06,junk
294,343,400,2,3804.74,2025/11/06,junk
295,533,554,3,10400.64,2025/11/06,junk
296,219,96,5,2235.5,2025/11/06,junk
297,566,320,5,19963.05,2025/11/06,junk
298,349,776,2,9760.82,2025/11/06,junk
299,24,29,5,3250.65,2025/11/06,junk
300,607,265,2,4231.6,2025/11/06,junk
301,853,793,3,9636.27,2025/11/07,junk
302,744,433,5,16854.05,2025/11/07,junk
303,114,750,1,3555.15,2025/11/07,junk
304,862,382,3,2165.94,2025/11/07,junk
305,643,520,3,14856.93,2025/11/07,junk
306,127,49,1,559.9,2025/11/07,junk
307,460,306,5,19187.7,2025/11/07,junk
308,755,6,4,12333.0,2025/11/07,junk
309,348,242,5,6964.2,2025/11/07,junk
310,580,732,5,5305.35,2025/11/07,junk
311,865,610,2,1270.06,2025/11/07,junk
312,359,307,3,4474.02,2025/11/07,junk
313,683,804,5,4689.45,2025/11/07,junk
314,689,144,4,10559.36,2025/11/07,junk
315,533,756,2,1564.64,2025/11/07,junk
316,108,336,5,6137.5,2025/11/07,junk
317,597,198,3,13214.91,2025/11/07,junk
318,466,101,2,9748.52,2025/11/07,junk
319,729,436,4,2125.8,2025/11/07,junk
320,84,95,1,3499.83,2025/11/07,junk
321,436,910,2,3193.36,2025/11/07,junk
322,488,220,4,1973.96,2025/11/07,junk
323,80,379,5,4596.8,2025/11/07,junk
324,413,603,5,18449.25,2025/11/07,junk
325,532,798,4,16559.72,2025/11/07,junk
326,893,271,5,22491.4,2025/11/07,junk
327,511,652,4,1269.76,2025/11/07,junk
328,451,706,4,14768.08,2025/11/07,junk
329,750,997,4,14370.28,2025/11/07,junk
330,844,167,2,6685.9,2025/11/07,junk
331,518,131,4,5651.44,2025/11/07,junk
332,729,469,2,1577.24,2025/11/07,junk
333,992,722,5,3287.05,2025/11/07,junk
334,884,542,1,1349.99,2025/11/07,junk
335,712,218,4,4997.84,2025/11/07,junk
336,485,34,2,8907.36,2025/11/07,junk
337,967,573,3,1076.46,2025/11/07,junk
338,944,975,1,259.05,2025/11/07,junk
339,617,873,4,14776.24,2025/11/07,junk
340,113,124,3,13393.17,2025/11/07,junk
341,586,297,1,2166.4,2025/11/07,junk
342,536,157,1,4127.03,2025/11/07,junk
343,381,313,3,7584.78,2025/11/07,junk
344,311,302,4,962.52,2025/11/07,junk
345,29,811,2,5795.12,2025/11/07,junk
346,146,803,5,16731.35,2025/11/07,junk
347,432,50,3,8294.25,2025/11/07,junk
348,911,291,2,4145.04,2025/11/07,junk
349,188,839,4,16328.56,2025/11/07,junk
350,3,126,5,18178.9,2025/11/07,junk
351,358,70,1,1469.47,2025/11/08,junk
352,428,493,5,11536.7,2025/11/08,junk
353,318,580,4,2303.76,2025/11/08,junk
354,922,346,4,2355.96,2025/11/08,junk
355,487,855,5,4223.8,2025/11/08,junk
356,136,781,2,3791.02,2025/11/08,junk
357,517,652,4,1269.76,2025/11/08,junk
358,780,461,4,2133.56,2025/11/08,junk
359,153,888,3,11873.97,2025/11/08,junk
360,92,820,5,4386.6,2025/11/08,junk
361,681,639,4,5564.8,2025/11/08,junk
362,397,239,4,11743.48,2025/11/08,junk
363,348,554,1,3466.88,2025/11/08,junk
364,982,687,4,8628.8,2025/11/08,junk
365,754,285,1,179.12,2025/11/08,junk
366,887,170,1,2692.81,2025/11/08,junk
367,586,646,3,9340.98,2025/11/08,junk
368,575,661,1,3905.93,2025/11/08,junk
369,660,573,1,358.82,2025/11/08,junk
370,198,979,5,22445.15,2025/11/08,junk
371,555,591,1,1167.94,2025/11/08,junk
372,981,584,5,3934.15,2025/11/08,junk
373,194,769,4,11109.0,2025/11/08,junk
374,515,919,1,684.58,2025/11/08,junk
375,124,675,5,19791.3,2025/11/08,junk
376,185,986,1,3019.12,2025/11/08,junk
377,282,806,2,2844.44,2025/11/08,junk
378,252,850,5,2638.45,2025/11/08,junk
379,455,87,5,12426.9,2025/11/08,junk
380,622,329,4,15429.32,2025/11/08,junk
381,604,47,4,18820.64,2025/11/08,junk
382,883,957,1,4688.96,2025/11/08,junk
383,349,448,2,7171.3,2025/11/08,junk
384,425,25,5,21014.55,2025/11/08,junk
385,325,392,3,8083.95,2025/11/08,junk
386,94,118,1,830.61,2025/11/08,junk
387,555,173,3,5670.03,2025/11/08,junk
388,148,188,3,13360.95,2025/11/08,junk
389,787,92,2,1591.76,2025/11/08,junk
390,315,976,4,15688.24,2025/11/08,junk
391,695,174,1,4139.47,2025/11/08,junk
392,630,985,3,7522.29,2025/11/08,junk
393,186,28,1,1325.69,2025/11/08,junk
394,306,400,1,1902.37,2025/11/08,junk
395,328,146,4,17495.16,2025/11/08,junk
396,915,332,3,2833.35,2025/11/08,junk
397,385,965,1,4127.37,2025/11/08,junk
398,54,208,2,5096.82,2025/11/08,junk
399,771,612,5,21887.8,2025/11/08,junk
400,243,505,5,24593.6,2025/11/08,junk
401,771,517,4,6220.6,2025/11/09,junk
402,973,118,3,2491.83,2025/11/09,junk
403,63,326,4,7736.0,2025/11/09,junk
404,567,417,1,2684.77,2025/11/09,junk
405,496,30,4,4139.36,2025/11/09,junk
406,649,240,1,265.24,2025/11/09,junk
407,276,568,5,11807.15,2025/11/09,junk
408,692,104,2,4662.26,2025/11/09,junk
409,782,569,2,4589.1,2025/11/09,junk
410,312,582,4,1594.16,2025/11/09,junk
411,457,86,5,11456.0,2025/11/09,junk
412,209,802,2,6401.96,2025/11/09,junk
413,383,554,2,6933.76,2025/11/09,junk
414,801,252,5,14127.0,2025/11/09,junk
415,976,434,5,24348.65,2025/11/09,junk
416,463,43,1,4444.07,2025/11/09,junk
417,833,476,5,10253.9,2025/11/09,junk
418,297,669,2,3650.04,2025/11/09,junk
419,1,62,4,9239.56,2025/11/09,junk
420,280,613,3,8753.28,2025/11/09,junk
421,860,697,4,15482.32,2025/11/09,junk
422,360,863,2,3727.98,2025/11/09,junk
423,600,861,5,24346.1,2025/11/09,junk
424,289,47,2,9410.32,2025/11/09,junk
425,757,547,5,9007.25,2025/11/09,junk
426,72,308,1,3879.7,2025/11/09,junk
427,405,716,1,4797.56,2025/11/09,junk
428,851,144,5,13199.2,2025/11/09,junk
429,287,900,4,9945.32,2025/11/09,junk
430,216,626,5,20951.55,2025/11/09,junk
431,981,822,3,4620.93,2025/11/09,junk
432,906,699,3,7044.78,2025/11/09,junk
433,651,268,4,4293.8,2025/11/09,junk
434,280,252,3,8476.2,2025/11/09,junk
435,350,216,4,11512.36,2025/11/09,junk
436,983,614,3,11071.59,2025/11/09,junk
437,17,936,2,5017.64,2025/11/09,junk
438,662,945,1,1717.35,2025/11/09,junk
439,624,488,1,3366.83,2025/11/09,junk
440,924,10,2,2184.28,2025/11/09,junk
441,424,570,4,8654.28,2025/11/09,junk
442,781,403,5,4063.4,2025/11/09,junk
443,84,807,1,3740.55,2025/11/09,junk
444,552,32,4,5835.24,2025/11/09,junk
445,689,127,3,7356.75,2025/11/09,junk
446,996,833,4,9317.72,2025/11/09,junk
447,848,616,3,3753.84,2025/11/09,junk
448,397,182,1,4285.82,2025/11/09,junk
449,128,474,3,14741.31,2025/11/09,junk
450,959,198,4,17619.88,2025/11/09,junk
451,10,227,1,1205.77,2025/11/10,junk
452,777,288,3,9796.08,2025/11/10,junk
453,197,93,5,8712.35,2025/11/10,junk
454,641,311,2,9046.38,2025/11/10,junk
455,240,506,3,7826.7,2025/11/10,junk
456,38,288,4,13061.44,2025/11/10,junk
457,927,721,5,12284.1,2025/11/10,junk
458,215,8,2,4766.32,2025/11/10,junk
459,841,654,4,12413.04,2025/11/10,junk
460,114,891,3,4291.53,2025/11/10,junk
461,583,513,4,18139.88,2025/11/10,junk
462,175,566,2,8051.68,2025/11/10,junk
463,676,757,5,24392.8,2025/11/10,junk
464,689,699,5,11741.3,2025/11/10,junk
465,579,180,1,130.7,2025/11/10,junk
466,603,132,1,2794.88,2025/11/10,junk
467,131,266,5,10805.0,2025/11/10,junk
468,877,234,5,5423.0,2025/11/10,junk
469,747,802,3,9602.94,2025/11/10,junk
470,197,869,1,2504.29,2025/11/10,junk
471,994,710,5,9297.9,2025/11/10,junk
472,630,259,5,21997.25,2025/11/10,junk
473,905,465,1,2496.76,2025/11/10,junk
474,961,438,1,1196.89,2025/11/10,junk
475,875,962,3,11518.11,2025/11/10,junk
476,443,865,4,16727.88,2025/11/10,junk
477,281,125,5,778.5,2025/11/10,junk
478,478,508,3,11164.05,2025/11/10,junk
479,530,778,1,2582.2,2025/11/10,junk
480,906,739,2,4175.74,2025/11/10,junk
481,49,285,4,716.48,2025/11/10,junk
482,546,460,3,9001.71,2025/11/10,junk
483,6,402,2,5109.34,2025/11/10,junk
484,343,84,5,1944.5,2025/11/10,junk
485,828,26,2,7471.48,2025/11/10,junk
486,707,434,1,4869.73,2025/11/10,junk
487,940,256,2,3583.94,2025/11/10,junk
488,169,338,3,1329.15,2025/11/10,junk
489,65,642,1,3600.13,2025/11/10,junk
490,29,492,4,2916.96,2025/11/10,junk
491,828,25,5,21014.55,2025/11/10,junk
492,817,642,3,10800.39,2025/11/10,junk
493,861,257,2,2438.42,2025/11/10,junk
494,111,485,2,1476.78,2025/11/10,junk
495,982,349,1,3947.17,2025/11/10,junk
496,842,342,5,3919.35,2025/11/10,junk
497,814,243,1,4728.62,2025/11/10,junk
498,795,615,5,721.8,2025/11/10,junk
499,450,783,1,2827.11,2025/11/10,junk
500,641,458,5,2177.9,2025/11/10,junk
501,128,88,1,803.14,2025/11/11,junk
502,939,35,4,5873.16,2025/11/11,junk
503,321,912,1,2478.24,2025/11/11,junk
504,802,131,1,1412.86,2025/11/11,junk
505,942,822,4,6161.24,2025/11/11,junk
506,57,309,5,4370.55,2025/11/11,junk
507,642,443,1,2463.16,2025/11/11,junk
508,105,694,1,3361.73,2025/11/11,junk
509,573,54,3,3555.93,2025/11/11,junk
510,871,391,4,817.24,2025/11/11,junk
511,99,633,4,7647.4,2025/11/11,junk
512,239,886,5,12603.0,2025/11/11,junk
513,807,676,5,22663.05,2025/11/11,junk
514,11,465,4,9987.04,2025/11/11,junk
515,476,815,4,7351.04,2025/11/11,junk
516,902,636,5,16380.95,2025/11/11,junk
517,104,348,1,3472.99,2025/11/11,junk
518,465,530,3,12020.67,2025/11/11,junk
519,602,198,1,4404.97,2025/11/11,junk
520,106,13,5,24487.0,2025/11/11,junk
521,731,70,5,7347.35,2025/11/11,junk
522,809,861,2,9738.44,2025/11/11,junk
523,927,587,2,9055.72,2025/11/11,junk
524,653,522,3,2033.31,2025/11/11,junk
525,364,432,4,16385.36,2025/11/11,junk
526,743,636,4,13104.76,2025/11/11,junk
527,191,249,2,1086.08,2025/11/11,junk
528,817,46,1,3652.47,2025/11/11,junk
529,131,320,5,19963.05,2025/11/11,junk
530,447,526,3,9116.76,2025/11/11,junk
531,319,598,5,5277.25,2025/11/11,junk
532,795,150,2,5943.98,2025/11/11,junk
533,481,317,5,14860.3,2025/11/11,junk
534,352,299,3,4796.52,2025/11/11,junk
535,994,9,5,9306.6,2025/11/11,junk
536,601,674,2,8875.44,2025/11/11,junk
537,59,244,5,16594.25,2025/11/11,junk
538,839,856,5,18281.7,2025/11/11,junk
539,880,56,4,10629.48,2025/11/11,junk
540,353,201,2,8509.84,2025/11/11,junk
541,656,931,2,2739.52,2025/11/11,junk
542,805,71,3,10363.38,2025/11/11,junk
543,194,684,4,18292.36,2025/11/11,junk
544,712,709,4,7438.68,2025/11/11,junk
545,615,710,3,5578.74,2025/11/11,junk
546,873,593,5,14289.3,2025/11/11,junk
547,987,344,5,14557.8,2025/11/11,junk
548,307,429,3,9002.4,2025/11/11,junk
549,167,108,4,14945.56,2025/11/11,junk
550,898,809,1,3445.27,2025/11/11,junk
551,508,225,1,4951.29,2025/11/12,junk
552,655,229,2,949.56,2025/11/12,junk
553,478,639,2,2782.4,2025/11/12,junk
554,245,493,3,6922.02,2025/11/12,junk
555,827,758,4,2605.52,2025/11/12,junk
556,211,410,2,3178.72,2025/11/12,junk
557,846,7,3,8296.17,2025/11/12,junk
558,11,76,3,6641.04,2025/11/12,junk
559,31,569,1,2294.55,2025/11/12,junk
560,146,298,4,14759.56,2025/11/12,junk
561,200,647,5,5677.1,2025/11/12,junk
562,935,784,3,13333.89,2025/11/12,junk
563,45,999,1,4215.29,2025/11/12,junk
564,204,203,3,4676.04,2025/11/12,junk
565,179,225,3,14853.87,2025/11/12,junk
566,737,179,3,664.74,2025/11/12,junk
567,868,568,2,4722.86,2025/11/12,junk
568,183,201,1,4254.92,2025/11/12,junk
569,181,864,3,6679.05,2025/11/12,junk
570,933,104,1,2331.13,2025/11/12,junk
571,852,694,2,6723.46,2025/11/12,junk
572,389,671,1,2864.9,2025/11/12,junk
573,347,959,2,7293.48,2025/11/12,junk
574,313,468,2,101.82,2025/11/12,junk
575,379,829,3,12498.87,2025/11/12,junk
576,677,176,5,9532.8,2025/11/12,junk
577,819,639,4,5564.8,2025/11/12,junk
578,900,729,1,4793.37,2025/11/12,junk
579,122,148,2,5753.02,2025/11/12,junk
580,814,195,2,6458.32,2025/11/12,junk
581,546,388,3,8724.36,2025/11/12,junk
582,326,614,4,14762.12,2025/11/12,junk
583,652,251,1,972.77,2025/11/12,junk
584,782,631,5,6280.2,2025/11/12,junk
585,194,875,5,7442.1,2025/11/12,junk
586,302,809,2,6890.54,2025/11/12,junk
587,336,254,1,1701.17,2025/11/12,junk
588,645,815,3,5513.28,2025/11/12,junk
589,894,130,5,8854.7,2025/11/12,junk
590,992,599,4,19356.76,2025/11/12,junk
591,215,745,1,2447.0,2025/11/12,junk
592,804,482,5,15724.05,2025/11/12,junk
593,67,172,5,24788.7,2025/11/12,junk
594,398,770,5,10190.35,2025/11/12,junk
595,384,511,5,22613.75,2025/11/12,junk
596,476,184,3,4247.97,2025/11/12,junk
597,730,383,5,11650.3,2025/11/12,junk
598,712,495,4,9197.0,2025/11/12,junk
599,486,275,5,3180.1,2025/11/12,junk
600,411,654,5,15516.3,2025/11/12,junk
601,666,38,2,6161.88,2025/11/13,junk
602,225,917,2,6797.22,2025/11/13,junk
603,463,884,2,2082.6,2025/11/13,junk
604,406,224,3,14816.64,2025/11/13,junk
605,436,911,4,15327.44,2025/11/13,junk
606,586,161,3,8045.16,2025/11/13,junk
607,261,564,1,4289.38,2025/11/13,junk
